gender,age,occ,student,occ_code,occ_code,live,town,pc.district,bread,furniture,clothing,gum,footwear,meal,walkway,frozen,prank,group,foot.cut,gas.glass,for.more,one.gone,book.spook,look.luke,fur.bear,singer.finger,pour.poor,eight.ate,weighed.wade,thin.fin,spa.spar,boat.bought,mute.moot,war.wore,fool.full.fall,give.it.me,I.done.it,things.what,you.was,you.wasnt,beaches.was,horses.wasnt,i.werent,i.were,we.was,we.wasnt,they.was,they.wasnt,she.were,she.werent,not.got.it,look.at.them,right.adj,right.n,not.be,was.sat,coming.the,go.cinema,accent_self_id,accent_self_eval_1
Female ,23,Part Time Bar Staff,Yes,"1. Higher managerial and professional occupations (e.g. lawyer, doctor, accountant, large business owner etc.)",5,"Yes, for all of that time",Stokesley ,TS9,"Bun,Roll",Sofa,Trousers,Chewy,Plimsolls,"Dinner,Tea","Alley(way),Cut",Ice lolly,"Knock and run, knock knock run, knock door run, knock-a-door run",Yous(e),Rhyme,Rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Rhyme,Different,Same,Same,Same,Same,Different,Different,Different,They all sound different to each other,"b. I wouldn't use it, but people from my area do",a. I'd say this myself,"b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,a. I'd say this myself,a. I'd say this myself,"b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",a. I'd say this myself,"b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,Yorkshire/ Teesside/ Comforting ,5
male,24,Mechanical Engineer,Yes,"2. Intermediate occupations (e.g. teacher, engineer, manager, higher admin etc.)",4,"Yes, for all of that time",Glasgow,g46,Roll,Couch,Trousers,(Chewing) gum,Plimsolls,Dinner,"Alley(way),Passage",Ice lolly,"Chap door run, chappy, happy chappy, or some other term with 'chap' or 'chappy' in it",You guys,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Different,Same,Same,Different,Different,Different,Different,Different,"'Fool' and 'full' sound the same, 'fall' sounds different",c. I've heard some people use this expression,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",e. No native speaker of English would say this,e. No native speaker of English would say this,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",e. No native speaker of English would say this,e. No native speaker of English would say this,c. I've heard some people use this expression,e. No native speaker of English would say this,e. No native speaker of English would say this,e. No native speaker of English would say this,"d. A speaker of English might say this, but I haven't really heard it",a. I'd say this myself,c. I've heard some people use this expression,c. I've heard some people use this expression,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,e. No native speaker of English would say this,"d. A speaker of English might say this, but I haven't really heard it",scottish,3
Female,22,Restaurant Manager ,No,"2. Intermediate occupations (e.g. teacher, engineer, manager, higher admin etc.)",4,"Yes, for all of that time",Bristol,BS28,Bun,Sofa,Pants,(Chewing) gum,Other...,Dinner,Alley(way),Ice lolly,Cherry knocking,You guys,Don't rhyme,Don't rhyme,Rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Rhyme,Different,Different,Different,Different,Different,Different,Different,Different,They all sound different to each other,"b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",Good Dialect ,5
Female,22,Editor,No,"2. Intermediate occupations (e.g. teacher, engineer, manager, higher admin etc.)",4,"Yes, for part of that time",Poole,Bh17,Roll,Sofa,Trousers,(Chewing) gum,Other...,Dinner,Alley(way),Ice lolly,"Cherry knocking,Knock and run, knock knock run, knock door run, knock-a-door run","You,You all,You lot",Don't rhyme,Don't rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Same,Same,Same,Different,Same,Different,Different,Same,They all sound different to each other,c. I've heard some people use this expression,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",e. No native speaker of English would say this,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,c. I've heard some people use this expression,Southern English,4
Female,27,Events coordinator ,No,"2. Intermediate occupations (e.g. teacher, engineer, manager, higher admin etc.)",4,"Yes, for part of that time","Paris, Sevenoaks, Manila",TN13,Roll,Sofa,Trousers,(Chewing) gum,Plimsolls,Dinner,Ginnel,Ice lolly,"Ding dong ditch, doorbell ditch, or some other term with 'ditch' in it",You,Don't rhyme,Don't rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Same,Same,Same,Different,Same,Different,Different,Same,They all sound different to each other,c. I've heard some people use this expression,e. No native speaker of English would say this,e. No native speaker of English would say this,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",e. No native speaker of English would say this,e. No native speaker of English would say this,c. I've heard some people use this expression,c. I've heard some people use this expression,e. No native speaker of English would say this,e. No native speaker of English would say this,e. No native speaker of English would say this,"d. A speaker of English might say this, but I haven't really heard it",e. No native speaker of English would say this,c. I've heard some people use this expression,a. I'd say this myself,c. I've heard some people use this expression,c. I've heard some people use this expression,a. I'd say this myself,e. No native speaker of English would say this,a. I'd say this myself,e. No native speaker of English would say this,c. I've heard some people use this expression,Southern,6
Male ,21,Trainee Teacher,Yes,"2. Intermediate occupations (e.g. teacher, engineer, manager, higher admin etc.)",4,"Yes, for all of that time",Goonhavern,TR4,Roll,Sofa,Trousers,(Chewing) gum,Other...,Dinner,Alley(way),Ice lolly,"Ding dong ditch, doorbell ditch, or some other term with 'ditch' in it",You,Don't rhyme,Don't rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Same,Same,Same,Different,Same,Different,Different,Same,They all sound different to each other,"b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",a. I'd say this myself,c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do",Standard Southern British English,6
Male,23,Tech Operations,No,"2. Intermediate occupations (e.g. teacher, engineer, manager, higher admin etc.)",4,"Yes, for part of that time",North Oxfordshire,Ox25,"Bap,Roll","Couch,Sofa",Trousers,"(Chewing) gum,Chewy,Chud",Plimsolls,Dinner,"Alley(way),Cut,Passage",Ice lolly,"Ding dong ditch, doorbell ditch, or some other term with 'ditch' in it,Knock and run, knock knock run, knock door run, knock-a-door run","You,You all,You guys,You lot",Don't rhyme,Don't rhyme,Rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Same,Same,Same,Same,Same,Different,Different,Same,They all sound different to each other,a. I'd say this myself,a. I'd say this myself,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,a. I'd say this myself,c. I've heard some people use this expression,c. I've heard some people use this expression,a. I'd say this myself,"d. A speaker of English might say this, but I haven't really heard it",a. I'd say this myself,c. I've heard some people use this expression,a. I'd say this myself,"Sometimes more posh English, weird American pronunciations of certain words. Random phrases from where I’ve lived",4
male,44,education intervention ,No,"2. Intermediate occupations (e.g. teacher, engineer, manager, higher admin etc.)",4,"Yes, for all of that time",Oxford,OX4,Roll,Sofa,Trousers,(Chewing) gum,Plimsolls,Dinner,Alley(way),Ice lolly,"Knick knock, nick knock (or some other spelling variant)",You guys,Don't rhyme,Don't rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Rhyme,Same,Same,Same,Different,Same,Different,Different,Same,They all sound different to each other,c. I've heard some people use this expression,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do",e. No native speaker of English would say this,e. No native speaker of English would say this,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,e. No native speaker of English would say this,c. I've heard some people use this expression,"Posh, a touch RP, Oxford ",6
Female,65,Scool Exams Officer,No,"2. Intermediate occupations (e.g. teacher, engineer, manager, higher admin etc.)",4,"Yes, for all of that time","Sunderland, Catterick, Tidworth, Andover,Winchester",SO22,Bap,Couch,Trousers,(Chewing) gum,Plimsolls,Dinner,Passage,Ice lolly,"Knick knock, nick knock (or some other spelling variant)",You lot,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Rhyme,Rhyme,Different,Same,Same,Different,Same,Different,Different,Same,They all sound different to each other,a. I'd say this myself,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",a. I'd say this myself,e. No native speaker of English would say this,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",c. I've heard some people use this expression,c. I've heard some people use this expression,c. I've heard some people use this expression,"d. A speaker of English might say this, but I haven't really heard it",a. I'd say this myself,"d. A speaker of English might say this, but I haven't really heard it",a. I'd say this myself,"d. A speaker of English might say this, but I haven't really heard it",a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,a. I'd say this myself,"d. A speaker of English might say this, but I haven't really heard it","d. A speaker of English might say this, but I haven't really heard it",Cosmopolitan,5
Female,26,SEN teaching assistant ,No,"2. Intermediate occupations (e.g. teacher, engineer, manager, higher admin etc.)",4,"Yes, for all of that time","Birmingham, kings norton",B30,Cob,Settee,Trousers,(Chewing) gum,Other...,Dinner,Alley(way),Ice lolly,"Knock and run, knock knock run, knock door run, knock-a-door run",You lot,Rhyme,Don't rhyme,Don't rhyme,Rhyme,Don't rhyme,Don't rhyme,Don't rhyme,Rhyme,Same,Same,Different,Different,Same,Different,Different,Same,"'Fool' and 'full' sound the same, 'fall' sounds different","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,"b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do","b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,a. I'd say this myself,"b. I wouldn't use it, but people from my area do",c. I've heard some people use this expression,a. I'd say this myself,"b. I wouldn't use it, but people from my area do",a. I'd say this myself,"b. I wouldn't use it, but people from my area do",a. I'd say this myself,Brummy,3
